HR,emotion_total,emotion_polarity,rating,time_difference,vine,verified_purchase,CLI,group
,0,0,5,5670,0,1,-53.08,1
,3,-3,3,5670,0,1,125.9622222,1
,4,4,5,5670,0,1,101.4333333,1
1,1,-1,5,5670,0,1,117.4133333,1
,2,2,2,5670,0,1,116.0657143,1
,0,0,5,5670,0,1,119.32,1
,6,6,5,5670,0,0,114.8444444,1
0.941176471,10,10,5,5671,0,1,96.78666667,1
1,0,0,4,5671,0,1,72.12,1
,9,-3,4,5671,0,1,104.4454545,1
1,1,1,3,5671,0,1,91.94666667,1
,10,-4,3,5671,0,1,109.11,1
,6,0,5,5671,0,0,125.7114286,1
,6,6,5,5671,0,0,127.9654545,1
1,10,10,5,5671,0,1,91.47,1
,4,2,4,5671,0,1,120.2228571,1
,0,0,4,5671,0,1,107.5466667,1
,2,-2,4,5671,0,1,104.715,1
,2,2,5,5671,0,1,117.4355556,1
,11,3,5,5672,0,1,97.7075,1
,12,6,5,5672,0,1,108.8925,1
1,0,0,3,5672,0,1,100.0145455,1
,5,5,5,5672,0,1,113.5266667,1
,0,0,5,5672,0,1,110.28,1
1,1,-1,1,5672,0,1,94.12571429,1
1,8,2,3,5672,0,0,96.31142857,1
,3,3,5,5672,0,1,113.4975,1
,0,0,5,5672,0,0,148.24,1
,0,0,5,5672,0,1,113.8589474,1
,2,2,5,5672,0,0,83.82666667,1
,0,0,5,5672,0,1,213.32,1
,3,3,5,5672,0,0,,1
,4,4,4,5673,0,1,106.8114286,1
0.75,8,-2,1,5673,0,0,105.1542857,1
1,11,7,5,5673,0,1,101.3014286,1
1,3,3,5,5673,0,1,71.4,1
,2,2,5,5673,0,1,129.63,1
,5,1,5,5673,0,1,116.8118519,1
,9,7,4,5673,0,1,105.53,1
,2,2,5,5673,0,1,95.80888889,1
1,2,2,3,1818904,0,1,112.9709091,1
,5,5,5,1818904,0,1,117.87,1
0,8,8,4,1818904,0,1,99.82333333,1
,0,0,5,1818904,0,1,133.94,1
,5,5,2,1818904,0,1,124.3316667,1
,3,3,5,1818904,0,1,125.02,1
,2,2,4,1818904,0,1,116.0657143,1
,0,0,5,1818904,0,1,154.32,1
0.857142857,0,0,1,1818904,0,1,136.98,1
0.75,5,1,2,1818904,0,1,95.9,1
,14,6,5,1818904,0,1,110.5434146,1
,18,14,5,1818904,0,1,113.532973,1
1,0,0,1,1818904,0,1,72.12,1
,2,0,2,1818904,0,1,103.7466667,1
,0,0,5,1818904,0,1,,1
,6,6,5,1818905,0,1,103.7266667,1
1,10,10,5,1818905,0,1,114.2022222,1
,3,-3,3,1818905,0,1,71.9,1
0,3,3,5,1818905,0,1,125.27,1
,3,3,5,1818905,0,1,,1
,1,1,1,1818905,0,1,110.595,1
,0,0,4,1818905,0,1,,1
,7,-1,5,1818905,0,1,94.83272727,1
,2,2,5,1818906,0,1,86.2775,1
,0,0,3,1818906,0,1,86.95,1
0.75,5,1,2,1818906,0,1,117.0129412,1
,8,6,2,1818906,0,1,94.275,1
,8,8,3,1818906,0,1,109.0419048,1
,0,0,5,1818906,0,1,104.2342857,1
,2,2,3,1818906,0,1,119.32,1
,3,3,4,1818906,0,1,,1
1,1,-1,2,1818906,0,1,103.0844444,1
,0,0,4,1818906,0,1,89.96,1
,8,8,5,1818906,0,1,100.5410526,1
1,3,3,3,1818906,0,1,100.0057143,1
,0,0,4,1818907,0,0,84.1,1
,0,0,5,1818907,0,0,213.32,1
,29,23,4,1818907,0,1,93.37459459,1
1,3,3,5,1818907,0,1,,1
,6,6,4,1818907,0,1,103.0844444,1
,0,0,5,1818907,0,1,128.06,1
,3,1,2,1818908,0,1,100.7127273,1
,3,3,5,1818908,0,1,94.92,1
,3,3,5,1818908,0,1,,1
,0,0,5,1818908,0,1,119.34,1
,2,2,5,1818908,0,1,131.16,1
,7,1,5,1818908,0,1,109.1852632,1
,0,0,5,1818908,0,0,83.82666667,1
0,0,0,5,1818909,0,1,201.56,1
1,0,0,3,1818909,0,1,101.78,1
,5,5,5,1818909,0,1,95.63047619,1
,3,3,5,1818909,0,1,72.08,1
,2,2,5,1818909,0,1,103.7266667,1
,5,5,3,1818910,0,0,95.5275,1
1,3,3,5,1818910,0,1,81.07,1
,9,9,5,1818910,0,0,81.18,1
1,6,4,2,1818910,0,1,92.955,1
,6,6,5,1818910,0,1,111.192,1
,0,0,5,1818910,0,1,125.16,1
,2,2,5,1818910,0,0,119.39,1
,1,-1,4,1818910,0,1,107.64,1
1,2,2,5,1818910,0,1,105.6533333,1
,1,-1,2,1818910,0,1,101.6666667,1
1,2,2,2,1818910,0,1,107.3904762,1
,26,12,4,1818911,0,1,100.2564103,1
,9,9,4,1818911,0,1,107.6030769,1
,3,3,4,1818911,0,1,83.04666667,1
,10,2,4,1818911,0,1,105.9809524,1
,11,11,5,1818911,0,1,115.932973,1
,6,6,4,1818912,0,1,97.5,1
,3,3,5,1818912,0,1,83.82666667,1
,17,7,5,1818912,0,1,106.3153846,1
,0,0,5,1818912,0,1,108.95,1
,13,5,4,1818912,0,1,116.5875862,1
,8,6,5,1818912,0,1,81.80615385,1
1,23,17,5,5753,0,0,114.6181818,1
,7,7,5,5753,0,1,92.52,1
,10,-4,5,5753,0,0,124.0610526,1
,1,1,5,5753,0,1,80.335,1
,11,1,4,5753,0,1,110.8157143,1
0.5,21,-3,1,5753,0,0,57.50571429,1
,6,6,2,5753,0,1,75.37777778,1
0.5,2,2,4,5754,0,1,84,1
,0,0,4,5754,0,0,123.75,1
,13,9,4,5754,0,1,95.37636364,1
,16,10,5,5754,0,1,84.08307692,1
,0,0,3,5754,0,1,77.28,1
,3,3,5,5754,0,1,142.86,1
1,15,7,5,5754,0,1,116.1121739,1
,0,0,5,5754,0,1,107.6085714,1
,4,4,5,5754,0,1,86.36,1
1,5,5,5,5755,0,1,121.768,1
0.666666667,14,12,1,5755,0,0,109.0027273,1
,20,12,5,5755,0,1,103.215,1
1,3,3,5,5755,0,1,92.79666667,1
,0,0,5,5755,0,1,107.38,1
,2,2,5,5755,0,1,112.6914286,1
1,4,4,1,5755,0,0,110.9133333,1
,0,0,3,5755,0,1,80.335,1
,22,18,5,5755,0,1,111.1329412,1
1,4,4,5,5756,0,1,93.88,1
,8,8,5,5756,0,1,98.66375,1
1,19,19,3,5756,0,1,107.66,1
,5,5,5,5756,0,0,81.87636364,1
,10,10,4,5756,0,1,106.2769231,1
,4,2,3,5756,0,1,116.4866667,1
,0,0,5,5757,0,1,86.54333333,1
0.333333333,0,0,2,5757,0,1,95.8,1
1,0,0,2,5757,0,1,90.01333333,1
,12,8,4,5757,0,1,99.91090909,1
,2,2,5,5757,0,1,106.9647059,1
0.5,2,2,5,5757,0,1,107.0909091,1
,5,5,5,5757,0,1,111.5555556,1
,5,3,4,5757,0,1,92.83,1
,4,4,3,5758,0,1,95.5275,1
,0,0,3,5758,0,1,95.76,1
,8,-2,4,5758,0,1,116.4333333,1
0,0,0,5,5758,0,1,106.11,1
,11,11,5,5758,0,1,113.5333333,1
1,4,4,1,5758,0,1,81.855,1
1,15,9,4,5758,0,1,103.0652174,1
0,3,3,4,5758,0,1,107.52,1
,12,12,5,5758,0,1,104.972973,1
,7,7,5,5758,0,1,92.75157895,1
,7,5,4,5758,0,1,100.0057143,1
1,7,1,1,5759,0,1,108.0714286,1
,2,2,5,5759,0,1,91.94666667,1
,2,2,5,5759,0,0,78.18909091,1
,15,7,5,5759,0,1,106.2736508,1
,3,-3,5,5759,0,1,81.1,1
,13,11,5,5759,0,1,112.376,1
,6,6,5,5759,0,1,104.67,1
0,9,9,5,5760,0,1,112.66,1
,12,12,4,5760,0,1,105.7380645,1
1,6,4,4,5760,0,1,106.1364103,1
,2,-2,2,5760,0,1,91.19368421,1
,1,-1,2,5760,0,0,104.4,1
,5,5,5,5760,0,1,97.35666667,1
,5,-5,4,5761,0,1,98.69142857,1
0.916666667,8,4,2,5761,0,0,107.654359,1
,12,4,3,5761,0,1,102.3975,1
,0,0,4,5762,0,0,107.6455172,1
,10,10,5,5762,0,1,89.98,1
,3,3,4,5763,0,1,76.48571429,1
,4,4,5,5763,0,1,106.5927273,1
1,22,18,5,5763,0,1,108.3017391,1
,6,6,5,5763,0,1,87.96,1
,0,0,5,5763,0,1,98.30333333,1
,3,3,5,5763,0,1,109.1166667,1
,6,6,5,5764,0,1,81.14,1
,5,5,3,5764,0,1,111.8371429,1
0.8,19,19,4,5764,0,1,105.7109091,1
1,6,4,5,5764,0,0,122.0088889,1
0.857142857,31,7,3,5764,0,1,72.07234043,1
,0,0,5,5764,0,1,66.31,1
,8,8,5,5765,0,1,116.0657143,1
,8,8,5,5765,0,1,106.65,1
,8,8,5,5765,0,1,98.30333333,1
1,10,10,4,5765,0,1,110.9133333,1
,0,0,5,5765,0,1,84.08857143,1
,14,10,5,5765,0,1,99.07076923,1
,7,7,5,5765,0,1,93.37,1
,7,7,5,5765,0,1,114.955,1
,8,8,5,5765,0,1,109.7818182,1
,8,8,5,5766,0,1,97.315,1
0,11,1,1,5766,0,1,97.375,1
1,14,14,5,5766,0,1,95.26893617,1
,19,11,4,5766,0,1,105.8091667,1
,0,0,5,5766,0,1,82.65333333,1
1,102,42,5,5766,0,1,10.65874214,1
,8,2,5,5766,0,1,23.14947368,1
,2,0,4,5766,0,1,109.3623529,1
1,6,6,5,5766,0,1,83.96,1
0,5,1,5,5766,0,1,107.56,1
,10,10,4,5766,0,1,121.5418182,1
,6,2,2,5766,0,1,123.015,1
,2,2,2,5766,0,1,110.5533333,1
,9,9,5,5767,0,1,109.88,1
,4,4,4,5767,0,1,114.83,1
1,17,11,5,5767,0,1,110.5122581,1
0,11,9,2,5767,0,1,94.696,1
,0,0,5,5767,0,1,95.11111111,1
,18,4,2,5767,0,1,118.0753846,1
,10,10,5,5767,0,1,85.98666667,1
1,4,0,1,5767,0,1,107.5966667,1
1,3,3,3,5767,0,1,100.77,1
,4,4,5,5767,0,1,100.0057143,1
,7,7,5,5767,0,1,103.2366667,1
,9,1,5,5768,0,1,107.6533333,1
,2,2,3,5768,0,1,115.4866667,1
,4,-4,1,5768,0,1,109.1375,1
0.8,14,10,5,5768,0,1,113.5372727,1
,9,9,5,5768,0,1,82.65333333,1
,0,0,1,5768,0,0,94.83272727,1
,0,0,5,5769,0,1,80.76,1
1,3,3,5,5769,0,1,104.715,1
,8,4,3,5769,0,1,114.9966667,1
,6,2,5,5769,0,1,83.04666667,1
1,5,5,5,5769,0,1,113.8589474,1
1,5,5,5,5769,0,1,98.98315789,1
,0,0,5,5770,0,1,88.92666667,1
,3,3,5,5770,0,1,99.5575,1
0.5,3,3,5,5770,0,1,107.632381,1
1,3,3,5,5770,0,1,104.62,1
,5,5,5,5771,0,1,116.46,1
,2,2,5,5771,0,1,114.9966667,1
1,14,10,5,5771,0,1,84.94285714,1
1,3,3,4,5771,0,1,121.9457143,1
,3,3,5,5771,0,1,87.7975,1
1,2,2,4,5772,0,1,108.8716667,1
1,16,0,2,5772,0,1,113.532973,1
,5,3,5,5772,0,1,86.75,1
,3,3,4,5773,0,1,,1
,2,2,4,5773,0,1,104.715,1
,6,2,5,5773,0,1,93.91555556,1
,0,0,5,5773,0,1,91.435,1
,2,2,2,5773,0,1,110.595,1
,6,0,5,5773,0,1,95.88,1
,0,0,3,5773,0,1,119.38,1
,5,5,5,1818914,0,1,112.4727273,1
0.913043478,29,17,1,1818914,0,0,49.66686567,1
,7,7,5,1818914,0,1,47.39272727,1
,11,11,5,1818914,0,1,103.195,1
1,12,12,5,1818914,0,1,92.47428571,1
,9,9,5,1818914,0,1,116.475,1
1,9,-1,5,1818914,0,0,113.5391667,1
1,9,5,3,1818914,0,1,90.3075,1
1,6,6,5,1818914,0,1,98.02181818,1
,4,4,5,1818914,0,1,92.24,1
,3,-3,1,1818914,0,1,115.6028571,1
,0,0,5,1818915,0,1,110.1142857,1
,7,-1,3,1818915,0,1,105.4583333,1
,3,3,5,1818915,0,1,75.26,1
,7,7,5,1818915,0,1,114.1466667,1
,9,9,5,1818915,0,1,95.88,1
,4,0,5,1818915,0,1,119.32,1
,2,2,5,1818916,0,1,95.89333333,1
,2,2,5,1818916,0,1,112.9709091,1
,10,10,5,1818916,0,1,98.98315789,1
,14,10,4,1818916,0,1,101.7473684,1
0.111111111,7,7,1,1818916,0,1,92.52,1
,7,7,5,1818916,0,1,108.8925,1
,3,3,5,1818916,0,1,90.33,1
1,18,18,5,1818916,0,1,114.7725,1
,3,3,5,1818916,0,1,64.52571429,1
,4,0,3,1818917,0,1,89.01,1
,0,0,5,1818917,0,1,101.74,1
1,5,1,3,1818917,0,1,107.5966667,1
0.833333333,6,-2,4,1818917,0,1,120.4792857,1
,2,2,5,1818917,0,1,73.47,1
0.764705882,14,2,1,1818917,0,1,114.8827273,1
,6,-2,5,1818917,0,1,98.45555556,1
,6,6,5,1818918,0,1,72.80727273,1
,8,8,5,1818918,0,1,110.8577778,1
1,12,12,5,1818918,0,1,114.7982979,1
,5,1,1,1818918,0,1,54.46909091,1
,17,11,5,1818918,0,0,114.5992857,1
,7,7,5,1818919,0,1,87.88,1
0.833333333,7,7,5,1818919,0,1,101.762963,1
1,1,-1,1,1818919,0,1,84.06,1
1,5,5,5,1818919,0,1,104.715,1
1,15,7,3,1818919,0,1,102.3836735,1
,3,3,5,1818920,0,1,63.31333333,1
1,13,1,4,1818920,0,1,102.2847458,1
0.666666667,7,5,1,1818920,0,1,127.9608696,1
,16,16,5,1818920,0,1,84.30923077,1
,8,8,5,1818920,0,1,95.82,1
,6,0,4,1818920,0,1,89.01,1
,8,4,5,1818921,0,1,96.31142857,1
,1,-1,5,1818921,0,1,91.94666667,1
,3,3,5,1818921,0,1,113.4,1
,6,6,4,1818922,0,1,99.7373913,1
1,21,17,5,5852,0,1,107.64,1
,3,3,5,5852,0,1,100.5410526,1
,8,8,5,5852,0,1,101.7615385,1
,7,7,5,5852,0,1,98.78,1
,3,3,5,5852,0,1,106.65,1
,8,4,4,5853,0,1,109.4675,1
,11,5,4,5853,0,1,100.6866667,1
,9,5,5,5853,0,1,114.955,1
,9,-1,1,5853,0,1,97.92689655,1
,7,7,5,5854,0,1,97.28190476,1
,5,5,5,5854,0,1,85.40923077,1
,3,1,3,5854,0,1,98.02181818,1
,4,4,5,5854,0,1,88.03555556,1
1,0,0,1,5854,0,1,118.1810526,1
,8,8,5,5854,0,1,90.62666667,1
1,18,16,4,5854,0,1,96.89974026,1
,3,1,4,5854,0,1,36.64,1
,3,3,5,5854,0,1,101.76,1
1,11,11,4,5854,0,1,99.91090909,1
,5,-3,4,5854,0,1,104.088,1
0,2,2,1,5855,0,1,88.24571429,1
,2,2,4,5855,0,1,95.86736842,1
,5,5,3,5855,0,1,107.555,1
,2,2,1,5855,0,1,104.6733333,1
,6,6,4,5855,0,1,113.52,1
,5,5,5,5855,0,1,106.2769231,1
,30,18,5,5855,0,1,84.23232877,1
,7,3,5,5855,0,1,75.88222222,1
0,9,9,1,5856,0,1,81.45777778,1
0,23,9,1,5856,0,1,70.43354839,1
1,13,5,4,5856,0,1,109.8478689,1
0.857142857,7,7,5,5856,0,1,74.70571429,1
,10,10,4,5856,0,1,120.0822222,1
,3,3,5,5857,0,1,95.77714286,1
,3,3,5,5857,0,1,111.5555556,1
,6,6,4,5857,0,1,106.65,1
,3,1,5,5857,0,1,104,1
,9,-3,5,5857,0,1,107.642963,1
1,30,26,5,5858,0,1,66.82869565,1
1,4,0,2,5858,0,1,87.37473684,1
,8,8,5,5858,0,1,88.24571429,1
1,6,-2,3,5859,0,1,87.33777778,1
1,10,8,5,5859,0,1,98.56545455,1
0.9,4,4,5,5859,0,1,122.04,1
,1,1,4,5859,0,1,93.552,1
,7,5,5,5859,0,1,97.42526316,1
,3,3,5,5860,0,1,95.87454545,1
,3,3,5,5860,0,1,106.5666667,1
1,4,2,5,5860,0,1,117.2183333,1
0.8,14,8,2,5860,0,1,124.5736585,1
1,5,5,4,5860,0,1,92.78,1
,12,12,5,5860,0,1,110.105,1
,4,4,4,5860,0,1,101.6,1
,3,3,5,5860,0,1,109.44,1
0.5,7,3,5,5860,0,1,113.1675,1
0,3,3,4,5860,0,1,91.54526316,1
,11,9,5,5860,0,1,92.42333333,1
1,3,-3,5,5861,0,1,98.52,1
,10,8,5,5861,0,1,115.132973,1
,1,1,4,5861,0,1,98.74,1
,3,3,4,5861,0,1,94.38814815,1
,0,0,4,5861,0,1,99.09777778,1
,2,-2,1,5861,0,1,129.1955556,1
,9,-3,5,5861,0,1,89.98117647,1
0,10,8,5,5862,0,1,109.4675,1
,5,3,5,5862,0,1,111.86,1
,12,12,4,5862,0,1,85.555,1
,10,10,5,5863,0,1,98.835,1
,6,6,5,5863,0,1,105.4375,1
,7,-1,4,5863,0,1,115.2815686,1
,0,0,5,5863,0,1,95.64,1
,13,-3,4,5863,0,1,108.2425806,1
,22,16,4,5863,0,1,108.0810526,1
,2,2,5,5863,0,1,92.095,1
1,7,5,5,5863,0,1,104.7,1
,4,4,5,5864,0,1,89.45090909,1
,8,8,5,5864,0,1,104.9777778,1
,9,9,5,5864,0,1,114.5858824,1
,8,8,5,5864,0,1,110.1142857,1
,0,0,5,5864,0,1,95.135,1
,3,3,5,5864,0,1,87.03333333,1
,3,3,4,5864,0,1,94.89230769,1
,1,1,5,5864,0,1,106.895,1
,11,11,4,5864,0,1,111.1035294,1
0.25,3,3,4,5864,0,1,89.84,1
0.5,2,-2,1,5864,0,1,99.83333333,1
,3,3,5,5865,0,1,81.1,1
1,3,1,3,5865,0,1,107.6,1
,15,15,5,5865,0,1,99.17185185,1
,4,4,5,5865,0,1,84.04888889,1
1,3,-3,1,5865,0,1,123.3433333,1
,5,5,5,5865,0,1,106.2769231,1
1,7,3,2,5866,0,1,124.4514286,1
,9,3,3,5866,0,1,78.65142857,1
1,4,2,4,5866,0,1,105.6,1
,5,-1,2,5867,0,1,89.9775,1
1,0,0,5,5867,0,1,78.08,1
,3,3,4,5867,0,1,97.20444444,1
,0,0,4,5867,0,1,106.9647059,1
,5,5,5,5867,0,1,84.74666667,1
0,2,-2,1,5867,0,1,88.95272727,1
,7,5,5,5867,0,1,111.7282759,1
,4,2,5,5868,0,1,83.35111111,1
,6,6,5,5868,0,1,97.315,1
,7,3,4,5868,0,1,103.3963636,1
,6,6,5,5868,0,1,100,1
,1,-1,3,5868,0,1,97.975,1
,10,10,5,5868,0,1,95.135,1
,4,4,3,5869,0,1,120.2228571,1
,5,5,5,5869,0,1,95.86,1
1,14,12,4,5869,0,1,109.2115789,1
,16,10,4,5869,0,1,117.032,1
,3,3,5,5869,0,1,64.09333333,1
,5,5,5,5869,0,1,90.82285714,1
1,31,29,4,5869,0,1,127.1118367,1
,5,5,5,5869,0,1,95.11111111,1
,5,1,4,5869,0,0,116.7377778,1
,6,-2,1,5870,0,1,111.8371429,1
1,2,2,5,5870,0,1,109.4675,1
,4,4,3,5870,0,1,100.7977778,1
,1,1,5,5870,0,1,95.77714286,1
1,10,8,4,5870,0,0,111.56,1
0.8,8,4,2,5870,0,1,114.4266667,1
1,10,0,1,5870,0,0,98.99375,1
,8,8,4,5870,0,1,102.335,1
,11,11,5,5871,0,1,115.888,1
,4,0,5,5871,0,1,113.4830769,1
,5,5,5,5871,0,0,114.1466667,1
,1,1,5,5871,0,1,105.6755556,1
,11,11,4,5871,0,1,99.57833333,1
,3,3,4,5872,0,1,107.555,1
,21,19,5,5872,0,1,115.0175,1
,10,10,5,5873,0,1,87.32,1
,13,11,5,5873,0,1,99.42746269,1
,2,2,5,5873,0,1,76.30153846,1
1,8,8,5,5873,0,1,95.72,1
0.973913043,76,56,4,5873,0,1,18.80442623,1
1,13,11,5,5873,0,1,80.61032258,1
,6,6,5,5873,0,1,103.2366667,1
1,10,2,5,1818924,0,1,115.7155556,1
,8,-2,5,1818924,0,1,94.0075,1
,2,2,4,1818924,0,1,102.5828571,1
,13,7,5,1818924,0,1,117.072,1
1,9,9,5,1818924,0,1,101.7473684,1
,5,-1,5,1818924,0,1,92.52,1
0.857142857,13,7,4,1818924,0,1,121.25875,1
,1,-1,4,1818924,0,1,94.15,1
,0,0,4,1818924,0,1,87.98,1
,9,9,5,1818925,0,1,95.5275,1
,6,6,2,1818925,0,1,99.68,1
,16,12,5,1818925,0,1,102.6666667,1
,6,6,5,1818925,0,1,87.32,1
,13,13,5,1818925,0,1,111.8371429,1
1,0,0,4,1818925,0,1,111.255,1
,12,12,4,1818926,0,1,101.0847059,1
,30,30,5,1818926,0,0,87.58337662,1
1,10,6,5,1818926,0,1,113.7542857,1
,20,16,5,1818926,0,1,97.37777778,1
1,16,6,5,1818926,0,1,113.535,1
,6,6,5,1818926,0,1,122.355,1
,3,1,5,1818926,0,1,86.26181818,1
,6,6,5,1818926,0,1,104.1388235,1
,6,6,5,1818926,0,1,116.46,1
,9,9,5,1818926,0,1,103.0844444,1
,3,3,3,1818926,0,1,106.4210526,1
,11,9,5,1818927,0,1,93.92,1
,8,4,5,1818927,0,1,106.65,1
,5,5,5,1818927,0,1,116.0657143,1
,6,6,5,1818927,0,1,112.1569231,1
,6,-2,5,1818927,0,1,88.24571429,1
,8,8,4,1818928,0,1,91.32444444,1
,5,5,5,1818928,0,1,108.4971429,1
,5,5,5,1818928,0,1,83.96,1
0.5,2,2,3,1818929,0,1,96.31142857,1
1,2,2,3,1818929,0,1,101.015,1
,10,4,1,1818929,0,1,111.8609524,1
,0,0,5,1818929,0,1,103.8785714,1
,10,10,3,1818929,0,1,81.84,1
,3,3,4,1818929,0,1,95.77714286,1
,5,5,4,1818929,0,1,113.8589474,1
1,5,3,5,1818930,0,1,91.8275,1
1,20,16,5,1818930,0,1,97.92689655,1
,9,-3,5,1818930,0,1,102.9916667,1
0.5,21,-5,3,1818930,0,0,66.26721649,1
,5,5,5,1818931,0,1,80.7275,1
,0,0,5,1818931,0,1,101.68,1
,10,10,5,1818931,0,1,103.2366667,1
,6,6,5,1818931,0,1,104.8981818,1
,14,8,5,1818931,0,1,103.255,1
,6,6,5,1818931,0,1,100.9,1
,2,-2,5,1818931,0,1,109.735,1
0,5,-1,1,1818931,0,1,102.1914286,1
1,8,6,3,1818932,0,1,108.844,1
1,5,3,5,1818932,0,0,82.896,1
0.914893617,4,4,3,1818932,0,1,121.2381818,1
1,6,6,5,1818932,0,1,108.0714286,1
1,14,14,3,1818932,0,1,94.43,1
,0,0,2,1818932,0,1,83.35111111,1
1,0,0,5,1818932,0,1,99.8,1
,4,-4,5,1818932,0,0,78.18909091,1
,15,9,5,1818932,0,1,108.824,1
,8,8,4,1818932,0,1,78.11333333,1
,14,8,5,1818932,0,1,101.79,1
,7,5,3,5953,0,1,107.6030769,1
0.5,9,9,4,5953,0,1,104.4,1
,9,3,3,5953,0,1,115.6018605,1
0.5,29,21,5,5953,0,1,92.49473684,1
,0,0,3,5953,0,1,69.49777778,1
,4,4,3,5954,0,1,117.4355556,1
,14,8,4,5954,0,1,98.15846154,1
1,15,5,4,5954,0,0,112.732973,1
,0,0,5,5954,0,1,95.68,1
1,26,20,5,5954,0,1,111.7282759,1
,2,2,4,5954,0,1,101.762963,1
,7,5,4,5954,0,1,99.34352941,1
,12,10,4,5955,0,1,94.2,1
,0,0,5,5955,0,1,95.85333333,1
,5,5,5,5955,0,1,114.4338462,1
,0,0,2,5955,0,1,98.79333333,1
,10,6,4,5955,0,1,115.0175,1
1,0,0,4,5955,0,1,112.1569231,1
1,5,5,5,5955,0,1,114.1466667,1
,9,9,5,5956,0,1,98.78,1
,7,7,5,5956,0,1,114.955,1
0.846153846,12,10,5,5956,0,1,110.5122581,1
0.333333333,0,0,3,5956,0,1,77.47111111,1
,3,3,4,5956,0,1,84.01714286,1
,4,2,4,5956,0,1,95.9,1
,6,6,5,5956,0,1,103.9018182,1
,5,1,1,5956,0,0,93.615,1
,2,2,5,5958,0,1,99.09777778,1
0,10,4,5,5958,0,1,124.3177778,1
1,7,7,5,5958,0,1,105.4583333,1
1,5,5,5,5958,0,1,92.52,1
,1,1,4,5958,0,1,118.41,1
1,24,18,4,5958,0,1,25.30075472,1
0,2,2,2,5958,0,1,56.14,1
0.75,10,0,1,5959,0,1,119.4133333,1
,6,6,5,5959,0,1,101.74,1
0,5,5,5,5959,0,1,94.89,1
,6,0,4,5959,0,1,92.27846154,1
1,3,3,2,5959,0,1,77.47111111,1
1,11,7,5,5959,0,1,109.4015686,1
,6,6,5,5959,0,1,89.28666667,1
1,4,4,5,5959,0,1,85.555,1
,4,4,5,5959,0,1,105.6755556,1
1,10,10,5,5959,0,1,104.7,1
0,11,9,5,5960,0,1,117.4733333,1
1,3,3,4,5960,0,1,91.435,1
1,2,2,5,5960,0,1,110.54,1
,10,10,5,5960,0,1,99.8,1
1,16,10,1,5960,0,1,125.3014815,1
,16,12,5,5960,0,1,116.1140741,1
,10,8,5,5961,0,1,120.4262069,1
,2,2,5,5961,0,0,94.0075,1
,10,10,5,5961,0,1,100.3969231,1
,2,2,5,5961,0,1,101.6888889,1
,6,6,5,5961,0,1,104.6733333,1
0,3,3,5,5962,0,1,154.32,1
,10,10,5,5962,0,1,107.3904762,1
,6,6,5,5963,0,1,104.1388235,1
,1,-1,5,5963,0,1,104.9777778,1
1,15,11,4,5964,0,0,109.8214634,1
,3,3,5,5964,0,1,102.6911111,1
1,15,9,5,5965,0,1,84.12666667,1
,3,3,5,5965,0,1,88.97142857,1
0,11,3,1,5965,0,1,117.5509091,1
,17,17,5,5965,0,1,95.07,1
0.666666667,5,5,4,5965,0,1,93.56615385,1
,8,-2,3,5965,0,1,117.5509091,1
,8,8,5,5965,0,1,85.40923077,1
,0,0,5,5965,0,1,79.55,1
,6,6,3,5965,0,1,82.1,1
1,4,4,4,5965,0,1,106.895,1
1,4,4,5,5965,0,1,104.2342857,1
,0,0,3,5966,0,1,114.8444444,1
,2,2,5,5966,0,1,110.1142857,1
,2,-2,4,5966,0,1,136.295,1
,7,7,5,5966,0,0,98.56545455,1
1,8,8,5,5966,0,1,107.6505882,1
,7,7,5,5966,0,1,98.7,1
,0,0,3,5966,0,1,98.30333333,1
1,4,2,1,5966,0,1,104.225,1
,5,-1,1,5966,0,1,93.73428571,1
0.571428571,20,-2,2,5967,0,0,94.03090909,1
,5,3,5,5967,0,1,93.13818182,1
,2,2,5,5967,0,1,95.82909091,1
0.666666667,19,-9,1,5967,0,1,104.8894737,1
1,8,-2,4,5967,0,1,109.9418182,1
,0,0,5,5967,0,1,75.49818182,1
0.666666667,13,3,3,5967,0,1,115.6945455,1
1,9,3,5,5967,0,1,89.95,1
,1,1,2,5967,0,1,100.6866667,1
,9,9,5,5967,0,1,96.50666667,1
,7,5,4,5968,0,1,116.4333333,1
1,5,1,1,5968,0,1,105.8857143,1
,7,7,5,5968,0,1,99.82333333,1
,9,9,4,5968,0,1,116.42,1
,7,7,5,5968,0,1,116.3314286,1
,14,14,5,5968,0,1,107.632381,1
0.75,11,11,3,5968,0,1,94.28727273,1
0.666666667,26,16,5,5968,0,1,79.08,1
,5,5,5,5969,0,1,83.175,1
0.666666667,9,7,5,5969,0,1,98.42571429,1
0.5,21,7,5,5969,0,1,89.60231884,1
,9,9,4,5969,0,1,68.8,1
1,11,11,5,5969,0,1,112.9709091,1
,4,4,5,5970,0,1,97.315,1
1,0,0,5,5970,0,1,117.4355556,1
,6,6,5,5970,0,1,105.68,1
1,15,5,2,5970,0,1,119.96,1
,12,6,5,5971,0,1,92.87,1
0.6,13,11,3,5971,0,1,89.99,1
1,9,9,5,5971,0,1,106.0694737,1
,13,13,4,5971,0,1,109.2688889,1
,7,7,5,5971,0,1,101.4075,1
,8,8,4,5971,0,1,101.7,1
1,6,6,5,5972,0,1,126.7566667,1
0.857142857,2,2,1,5972,0,1,103.195,1
